"","trueNe","trueNe2","trueNe3","trueNe4","Ne","NeSv","Ne2","NeSv2","alpha","pcrit","r2","Va","Se","Sved","Jp","IndComp","Cjup","Cjdown","Njup","Njdown","lJup","Ljdown","pup","pdown","CjupSv","CjdownSv","NjupSv","NjdownSv","lJupSv","LjdownSv","pupSv","pdownSv","pop_size","sample_size","n_loci","al_per_loc","n_gen","n_rep","allele_dist"
"290",208.355091384,184.722222222,200.502512563,189.099526066,282.442683747019,333.3798128092,NA,NA,0.1,0.01,0.0114905310002513,2.74046891340456e-06,0.00165543617013902,0.0104906704192386,144.964443060962,158,-238.584455350986,80.7286160266035,-216.907471406634,83.4685628727504,-446.911462537005,86.0479702956605,-492.927103490056,89.1355579779404,-210.847497914589,86.5460336772,-193.45095684976,89.538081293463,-361.931348458629,92.3630165266095,-391.814506984741,95.7549925238182,200,100,5,10,50,25,1
"291",203.053435115,215.094339623,182.191780822,207.272727273,1226.62934253627,3943.58864062162,NA,NA,0.1,0.01,0.0105902888112797,4.33731400443638e-06,0.00208262190626056,0.0105057634300318,68.5879030707284,89,-116.730593757972,83.052736942904,-107.706167406903,88.0458688562609,-157.056802739327,80.0309263331153,-177.010029721392,93.361439092089,-107.770932430176,89.4442017908712,-99.7680547915286,94.9631476950702,-142.626256568699,86.1200952083948,-159.34342450898,100.874730499438,200,100,5,10,50,25,1
"292",207.272727273,196.551724138,211.111111111,202.025316456,-1362.6745208309,59503.7831075867,NA,NA,0.1,0.01,0.0100740114239389,3.7777918293126e-06,0.00194365424633925,0.0100684095392196,216.940567994735,129,-105.707761728131,103.68647453145,-98.8700399983519,110.806930057365,-203.229040686337,210.490898892002,-167.422977685747,149.072828245439,-112.441402911939,98.0037752886912,-104.446555629751,104.081169796333,-237.02839494255,183.289479213328,-188.858387492816,135.744996795622,200,100,5,10,50,25,1
"293",212.8,189.099526066,194.160583942,200.502512563,-190.799451375354,-174.188342784865,NA,NA,0.1,0.01,0.00855301119078599,2.55174579050887e-06,0.00159741847695238,0.0104666486248652,65.7805156593399,157,-81.1327912701092,324.741736931414,-77.8859203594331,384.827022900952,-90.7932123492735,240.5708782546,-107.942252405786,3795.8614260572,-76.4357269124357,382.146800944222,-73.4027325249341,466.930483279997,-85.410992533082,271.882009715513,-101.165243720032,-5566.54245397832,200,100,5,10,50,25,1
"294",196.551724138,201.007556675,190.453460621,210.55408971,106.997437165678,97.6149380317598,NA,NA,0.1,0.01,0.0133740692558888,4.48123692711064e-06,0.00211689322525031,0.00995929135350589,86.935357022691,114,-1475.09313582631,47.4617293858573,-782.868793010045,48.8297735519144,1189.83729217973,44.2514777346645,575.143227610935,48.6847594278236,2498.43027833239,47.1035962125204,-4960.19957888429,48.3318919186716,521.345221787639,44.2083825798201,355.673730555975,48.2018469480265,200,100,5,10,50,25,1
"295",200,192.753623188,198.014888337,184.722222222,354.59972425156,298.390314785729,NA,NA,0.1,0.01,0.0112535395799043,3.49441272056119e-06,0.00186933483372059,0.0101364345104161,104.150762600063,143,-172.64664036416,77.7043378896754,-157.788779477496,81.0153046845629,-272.782582351367,80.2955686701182,-350.082313510836,92.8408938171653,-188.184702685413,76.4867489981464,-170.269821991441,79.5186781982402,-317.859361432915,78.860477876734,-429.984613575543,90.2636481871969,200,100,5,10,50,25,1
"296",197.037037037,198.014888337,188.20754717,196.551724138,-341.807371595703,-266.696718991238,NA,NA,0.1,0.01,0.00933788595137331,4.55360009244989e-06,0.00213391660859788,0.0105877450969756,43.2945028505949,114,-81.5186464165488,117.645415522686,-76.2362372078202,129.707793431029,-96.147598628022,92.5003298442733,-124.992703586993,225.749376752742,-74.7112438047387,132.550019958001,-70.0303707738602,147.484707680791,-87.482700787151,102.431621388047,-111.866861802564,279.108356370114,200,100,5,10,50,25,1
"297",192.753623188,192.289156627,202.538071066,191.826923077,71.4066636139946,81.3404214717316,NA,NA,0.1,0.01,0.0148517754194085,8.42162168694272e-06,0.00290200304736965,0.0107537719015736,28.7792640195391,89,3241.01222474432,32.4890858419238,-1387.52207892143,33.6127800410204,-1577.54157757504,21.4243049187079,223.053538165839,34.6375444657566,-1004.04914095132,36.3449071945371,-493.559015324396,37.5740378561118,-515.717735895267,24.4727057789147,318.744680733733,38.6985742110185,200,100,5,10,50,25,1
"298",202.538071066,205.141388175,192.753623188,190.909090909,88.0767264536475,82.602197764969,NA,NA,0.1,0.01,0.0140146329761011,6.05531569518343e-06,0.00246075510670677,0.00997922783734462,37.6721531738128,110,-3630.2979989329,39.6205854848884,-949.172452440539,40.8679999863824,-937.863477642424,27.7206520147614,312.423907684703,42.6079478125624,1344.6283180691,40.09611141788,-27374.4077819371,41.2388797811541,-20288.02627323,29.0700076588731,238.158251557401,42.8285793081189,200,100,5,10,50,25,1
"299",201.515151515,210.55408971,178.523489933,202.025316456,2635.94803394336,632.834034678391,NA,NA,0.1,0.01,0.0104453574105563,4.26111011299913e-06,0.00206424565229023,0.00991862636407786,97.1998833825237,113,-112.341101483302,87.0684087690903,-103.99681855527,92.5328332140571,-173.605937737561,104.18105693798,-185.609775524152,113.841128070949,-127.155941028931,80.5588302015135,-116.198639976116,84.9882024804198,-216.088550509611,94.2589122792848,-235.48185384706,101.775288600963,200,100,5,10,50,25,1
